            time               v             rho            temp          eratio            asym
  1.73525316E+04  4.29507378E+06  2.89620137E-09  1.69437048E+04  1.37038992E-02  0.00000000E+00
  1.76995822E+04  4.29554204E+06  2.89588566E-09  1.70082532E+04  1.38877951E-02  0.00000000E+00
  1.80466329E+04  4.29601029E+06  2.89557003E-09  1.70728015E+04  1.40738769E-02  0.00000000E+00
  1.83936835E+04  4.29647854E+06  2.89525446E-09  1.71373499E+04  1.42621741E-02  0.00000000E+00
  1.87407341E+04  4.29694679E+06  2.89493895E-09  1.72018983E+04  1.44527153E-02  0.00000000E+00
  1.90877848E+04  4.29741504E+06  2.89462352E-09  1.72664466E+04  1.46455279E-02  0.00000000E+00
  1.94348354E+04  4.29788329E+06  2.89430816E-09  1.73309950E+04  1.48406382E-02  0.00000000E+00
  1.97818860E+04  4.29835154E+06  2.89399286E-09  1.73955434E+04  1.50380714E-02  0.00000000E+00
  2.01289367E+04  4.29881979E+06  2.89367764E-09  1.74600917E+04  1.52378515E-02  0.00000000E+00
  2.04759873E+04  4.29928805E+06  2.89336248E-09  1.75246401E+04  1.54400012E-02  0.00000000E+00
  2.08230379E+04  4.29975630E+06  2.89304739E-09  1.75891884E+04  1.56445422E-02  0.00000000E+00
  2.11700886E+04  4.30022455E+06  2.89273237E-09  1.76537368E+04  1.58514950E-02  0.00000000E+00
  2.15171392E+04  4.30069280E+06  2.89241742E-09  1.77182852E+04  1.60608791E-02  0.00000000E+00
  2.18641898E+04  4.30116105E+06  2.89210254E-09  1.77828335E+04  1.62727126E-02  0.00000000E+00
  2.22112405E+04  4.30162930E+06  2.89178772E-09  1.78473819E+04  1.64870130E-02  0.00000000E+00
  2.25582911E+04  4.30209755E+06  2.89147298E-09  1.79119303E+04  1.67037967E-02  0.00000000E+00
  2.29053417E+04  4.30256580E+06  2.89115830E-09  1.79764786E+04  1.69230789E-02  0.00000000E+00
  2.32523924E+04  4.30303406E+06  2.89084369E-09  1.80410270E+04  1.71448744E-02  0.00000000E+00
  2.35994430E+04  4.30350231E+06  2.89052915E-09  1.81055753E+04  1.73691969E-02  0.00000000E+00
  2.39464936E+04  4.30397056E+06  2.89021468E-09  1.81701237E+04  1.75960595E-02  0.00000000E+00
  2.42935443E+04  4.30443881E+06  2.88990028E-09  1.82346721E+04  1.78254746E-02  0.00000000E+00
  2.46405949E+04  4.30490706E+06  2.88958594E-09  1.82992204E+04  1.80574541E-02  0.00000000E+00
  2.49876455E+04  4.30537531E+06  2.88927168E-09  1.83637688E+04  1.82920091E-02  0.00000000E+00
  2.53346962E+04  4.30584356E+06  2.88895748E-09  1.84283172E+04  1.85291507E-02  0.00000000E+00
  2.56817468E+04  4.30631181E+06  2.88864335E-09  1.84928655E+04  1.87688891E-02  0.00000000E+00
  2.60287974E+04  4.30678007E+06  2.88832929E-09  1.85574139E+04  1.90112344E-02  0.00000000E+00
  2.63758481E+04  4.30724832E+06  2.88801530E-09  1.86219622E+04  1.92561963E-02  0.00000000E+00
  2.67228987E+04  4.30771657E+06  2.88770137E-09  1.86865106E+04  1.95037845E-02  0.00000000E+00
  2.70699493E+04  4.30818482E+06  2.88738752E-09  1.87510590E+04  1.97540082E-02  0.00000000E+00
  2.74169999E+04  4.30865307E+06  2.88707373E-09  1.88156073E+04  2.00068766E-02  0.00000000E+00
  2.77640506E+04  4.30912132E+06  2.88676001E-09  1.88801557E+04  2.02623987E-02  0.00000000E+00
  2.81111012E+04  4.30958957E+06  2.88644636E-09  1.89447041E+04  2.05205835E-02  0.00000000E+00
  2.84581518E+04  4.31005782E+06  2.88613278E-09  1.90092524E+04  2.07814400E-02  0.00000000E+00
  2.88052025E+04  4.31052608E+06  2.88581926E-09  1.90738008E+04  2.10449770E-02  0.00000000E+00
  2.91522531E+04  4.31099433E+06  2.88550581E-09  1.91383491E+04  2.13112035E-02  0.00000000E+00
  2.94993037E+04  4.31146258E+06  2.88519244E-09  1.92028975E+04  2.15801285E-02  0.00000000E+00
  2.98463544E+04  4.31193083E+06  2.88487913E-09  1.92674459E+04  2.18517611E-02  0.00000000E+00
  3.01934050E+04  4.31239908E+06  2.88456588E-09  1.93319942E+04  2.21261103E-02  0.00000000E+00
  3.05404556E+04  4.31286733E+06  2.88425271E-09  1.93965426E+04  2.24031855E-02  0.00000000E+00
  3.08875063E+04  4.31333558E+06  2.88393960E-09  1.94610910E+04  2.26829959E-02  0.00000000E+00
  3.12345569E+04  4.31380383E+06  2.88362656E-09  1.95256393E+04  2.29655510E-02  0.00000000E+00
  3.15816075E+04  4.31427209E+06  2.88331359E-09  1.95901877E+04  2.32508605E-02  0.00000000E+00
  3.19286582E+04  4.31474034E+06  2.88300069E-09  1.96547360E+04  2.35389342E-02  0.00000000E+00
  3.22757088E+04  4.31520859E+06  2.88268786E-09  1.97192844E+04  2.38297818E-02  0.00000000E+00
  3.26227594E+04  4.31567684E+06  2.88237509E-09  1.97838328E+04  2.41234136E-02  0.00000000E+00
  3.29698101E+04  4.31614509E+06  2.88206239E-09  1.98483811E+04  2.44198397E-02  0.00000000E+00
  3.33168607E+04  4.31661334E+06  2.88174976E-09  1.99129295E+04  2.47190705E-02  0.00000000E+00
  3.36639113E+04  4.31708159E+06  2.88143720E-09  1.99774778E+04  2.50211167E-02  0.00000000E+00
  3.40109620E+04  4.31754984E+06  2.88112471E-09  2.00420262E+04  2.53259889E-02  0.00000000E+00
  3.43580126E+04  4.31801810E+06  2.88081228E-09  2.01065746E+04  2.56336981E-02  0.00000000E+00
  3.47050632E+04  4.31848635E+06  2.88049992E-09  2.01711229E+04  2.59442552E-02  0.00000000E+00
  3.50521139E+04  4.31895460E+06  2.88018763E-09  2.02356713E+04  2.62576716E-02  0.00000000E+00
  3.53991645E+04  4.31942285E+06  2.87987541E-09  2.03002197E+04  2.65739587E-02  0.00000000E+00
  3.57462151E+04  4.31989110E+06  2.87956325E-09  2.03647680E+04  2.68931280E-02  0.00000000E+00
  3.60932658E+04  4.32035935E+06  2.87925116E-09  2.04293164E+04  2.72151912E-02  0.00000000E+00
  3.64403164E+04  4.32082760E+06  2.87893914E-09  2.04938647E+04  2.75401603E-02  0.00000000E+00
  3.67873670E+04  4.32129585E+06  2.87862719E-09  2.05584131E+04  2.78680472E-02  0.00000000E+00
  3.71344177E+04  4.32176411E+06  2.87831531E-09  2.06229615E+04  2.81988641E-02  0.00000000E+00
  3.74814683E+04  4.32223236E+06  2.87800349E-09  2.06875098E+04  2.85326235E-02  0.00000000E+00
  3.78285189E+04  4.32270061E+06  2.87769174E-09  2.07520582E+04  2.88693376E-02  0.00000000E+00
  3.81755696E+04  4.32316886E+06  2.87738006E-09  2.08166066E+04  2.92090192E-02  0.00000000E+00
  3.85226202E+04  4.32363711E+06  2.87706844E-09  2.08811549E+04  2.95516810E-02  0.00000000E+00
  3.88696708E+04  4.32410536E+06  2.87675690E-09  2.09457033E+04  2.98973358E-02  0.00000000E+00
  3.92167214E+04  4.32457361E+06  2.87644542E-09  2.10102516E+04  3.02459968E-02  0.00000000E+00
  3.95637721E+04  4.32504186E+06  2.87613401E-09  2.10748000E+04  3.05976770E-02  0.00000000E+00
  3.99108227E+04  4.32551012E+06  2.87582266E-09  2.11393484E+04  3.09523896E-02  0.00000000E+00
  4.02578733E+04  4.32597837E+06  2.87551138E-09  2.12038967E+04  3.13100861E-02  0.00000000E+00
