2025-10-03T20:04:10.963 60951.83624 19.592 0.045 r    AB   P WFST     WFST    
2025-10-04T21:41:55.968 60952.90412 19.636 0.134 r    AB   P WFST     WFST    
2025-10-06T18:23:37.997 60954.76641 18.199 0.019 i    AB   P WFST     WFST    
2025-10-06T22:05:40.013 60954.92060 19.513 0.085 r    AB   P WFST     WFST    
2025-10-10T21:04:31.987 60958.87815 18.693 0.129 r    AB   P WFST     WFST    
2025-10-11T19:54:35.971 60959.82958 19.861 0.033 g    AB   P WFST     WFST    
2025-10-12T20:24:45.014 60960.85052 18.398 0.010 r    AB   P WFST     WFST    
2025-10-13T19:28:03.965 60961.81116 19.304 0.024 g    AB   P WFST     WFST    
2025-10-13T20:51:20.995 60961.86899 18.215 0.011 r    AB   P WFST     WFST    
2025-10-14T19:58:20.957 60962.83219 19.106 0.015 g    AB   P WFST     WFST    
2025-10-14T21:14:46.032 60962.88526 18.065 0.009 r    AB   P WFST     WFST    
2025-10-18T12:35:25.008 60966.52460 17.629 0.006 r    AB   P WFST     WFST    
2025-10-18T14:45:34.013 60966.61498 18.453 0.008 g    AB   P WFST     WFST    
2025-10-18T18:38:33.965 60966.77678 20.369 0.045 u    AB   P WFST     WFST    
2025-10-18T19:48:36.979 60966.82543 17.572 0.006 r    AB   P WFST     WFST    
2025-10-18T21:49:52.982 60966.90964 17.564 0.006 r    AB   P WFST     WFST    
2025-10-18T21:55:07.997 60966.91329 18.312 0.008 g    AB   P WFST     WFST    
2025-10-19T12:30:53.971 60967.52146 17.366 0.006 r    AB   P WFST     WFST    
2025-10-19T14:39:49.968 60967.61100 18.002 0.006 g    AB   P WFST     WFST    
2025-10-19T19:49:23.981 60967.82597 17.244 0.005 r    AB   P WFST     WFST    
2025-10-19T21:52:17.962 60967.91132 17.247 0.006 r    AB   P WFST     WFST    
2025-10-19T21:57:32.976 60967.91497 17.826 0.007 g    AB   P WFST     WFST    
2025-10-20T12:35:46.003 60968.52484 17.002 0.004 r    AB   P WFST     WFST    
2025-10-21T12:27:22.982 60969.51902 16.380 0.003 r    AB   P WFST     WFST    
2025-10-21T14:36:29.002 60969.60867 16.605 0.003 g    AB   P WFST     WFST    
2025-10-21T19:43:28.013 60969.82185 16.206 0.003 r    AB   P WFST     WFST    
2025-10-21T21:27:24.019 60969.89403 16.183 0.003 r    AB   P WFST     WFST    
2025-10-21T21:32:34.022 60969.89762 16.422 0.003 g    AB   P WFST     WFST    
2025-10-23T12:23:15.014 60971.51615 15.448 0.002 r    AB   P WFST     WFST    
2025-10-23T14:32:11.962 60971.60569 16.371 0.009 u    AB   P WFST     WFST    
2025-10-23T18:11:05.971 60971.75771 15.623 0.005 g    AB   P WFST     WFST    
2025-10-24T12:22:35.011 60972.51568 15.238 0.002 r    AB   P WFST     WFST    
2025-10-26T12:26:07.987 60974.51815 14.951 0.002 r    AB   P WFST     WFST    
2025-10-26T13:28:43.018 60974.56161 15.190 0.002 g    AB   P WFST     WFST    
2025-10-26T18:04:17.040 60974.75298 15.184 0.002 g    AB   P WFST     WFST    
2025-10-26T19:30:31.018 60974.81286 15.149 0.002 g    AB   P WFST     WFST    
2025-10-29T12:18:40.003 60977.51296 14.864 0.002 r    AB   P WFST     WFST    
2025-10-29T13:18:42.019 60977.55465 14.872 0.002 r    AB   P WFST     WFST    
2025-10-29T13:24:06.019 60977.55840 15.117 0.002 g    AB   P WFST     WFST    
2025-10-29T18:10:18.019 60977.75715 14.889 0.002 r    AB   P WFST     WFST    
2025-10-29T18:56:47.962 60977.78944 15.120 0.002 g    AB   P WFST     WFST    
2025-10-30T12:17:26.995 60978.51212 14.881 0.002 r    AB   P WFST     WFST    
2025-10-30T13:22:54.998 60978.55758 15.140 0.002 g    AB   P WFST     WFST    
2025-10-30T18:13:14.966 60978.75920 14.878 0.002 r    AB   P WFST     WFST    
2025-10-30T18:18:24.019 60978.76278 15.151 0.002 g    AB   P WFST     WFST    
2025-10-30T19:21:08.035 60978.80634 15.145 0.002 g    AB   P WFST     WFST    
2025-10-30T19:26:34.973 60978.81013 14.886 0.002 r    AB   P WFST     WFST    
2025-11-01T19:20:44.966 60980.80608 15.135 0.002 g    AB   P WFST     WFST    
2025-11-01T20:23:09.974 60980.84942 14.807 0.002 r    AB   P WFST     WFST    
2025-11-02T17:47:58.992 60981.74165 14.656 0.002 i    AB   P WFST     WFST    
2025-11-02T19:07:47.021 60981.79707 14.995 0.002 g    AB   P WFST     WFST    
2025-11-11T14:20:08.016 60990.59731 16.602 0.006 u    AB   P WFST     WFST    
2025-11-12T18:11:59.971 60991.75833 15.167 0.002 g    AB   P WFST     WFST    
2025-11-16T12:02:50.986 60995.50198 14.564 0.001 r    AB   P WFST     WFST    
2025-11-16T14:05:51.014 60995.58740 16.951 0.007 u    AB   P WFST     WFST    
